trainable params: 41,115,872 || all params: 6,779,531,488 || trainable%: 0.6064706989380679
{'loss': 0.8629, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8673, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.882, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.863, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8761, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8749, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8594, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8569, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.857, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8642, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8746, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8792, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8787, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8826, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8794, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.904, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8275, 'learning_rate': 0.0003, 'epoch': 1.0}
{'loss': 0.599, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5978, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5768, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.5938, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.5994, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.6163, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.6153, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.614, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6419, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.6456, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.6285, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.6373, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.6263, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.6361, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.6405, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.6429, 'learning_rate': 0.0003, 'epoch': 1.1}
{'train_runtime': 3801.7885, 'train_samples_per_second': 7.114, 'train_steps_per_second': 0.889, 'train_loss': 0.7466654834293184, 'epoch': 1.1}
