trainable params: 41,115,872 || all params: 6,779,531,488 || trainable%: 0.6064706989380679
{'loss': 0.8931, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8671, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8745, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8902, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8491, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8613, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8584, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 0.8878, 'learning_rate': 0.0003, 'epoch': 0.12}
{'loss': 0.7448, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.5031, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.5113, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.5126, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.5412, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.5641, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.5559, 'learning_rate': 0.0003, 'epoch': 1.1}
{'loss': 0.5588, 'learning_rate': 0.0003, 'epoch': 1.11}
{'loss': 0.5752, 'learning_rate': 0.0003, 'epoch': 1.13}
{'train_runtime': 1955.3204, 'train_samples_per_second': 5.246, 'train_steps_per_second': 0.656, 'train_loss': 0.7064447313374866, 'epoch': 1.13}
