trainable params: 2,359,360 || all params: 6,740,774,976 || trainable%: 0.03500131673880698
{'loss': 0.9793, 'learning_rate': 0.0003, 'epoch': 0.0}
{'loss': 0.8594, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8484, 'learning_rate': 0.0003, 'epoch': 0.01}
{'loss': 0.8433, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.8256, 'learning_rate': 0.0003, 'epoch': 0.02}
{'loss': 0.824, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8278, 'learning_rate': 0.0003, 'epoch': 0.03}
{'loss': 0.8304, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8294, 'learning_rate': 0.0003, 'epoch': 0.04}
{'loss': 0.8364, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8197, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.8392, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8498, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 0.8361, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8298, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 0.8366, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8401, 'learning_rate': 0.0003, 'epoch': 0.08}
{'loss': 0.8243, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8315, 'learning_rate': 0.0003, 'epoch': 0.09}
{'loss': 0.8262, 'learning_rate': 0.0003, 'epoch': 1.0}
{'loss': 0.7949, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.7875, 'learning_rate': 0.0003, 'epoch': 1.01}
{'loss': 0.7906, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.8005, 'learning_rate': 0.0003, 'epoch': 1.02}
{'loss': 0.7728, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.7922, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.7773, 'learning_rate': 0.0003, 'epoch': 1.03}
{'loss': 0.8041, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.7915, 'learning_rate': 0.0003, 'epoch': 1.04}
{'loss': 0.7759, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.7923, 'learning_rate': 0.0003, 'epoch': 1.05}
{'loss': 0.796, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.7952, 'learning_rate': 0.0003, 'epoch': 1.06}
{'loss': 0.7994, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.8074, 'learning_rate': 0.0003, 'epoch': 1.07}
{'loss': 0.8054, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.8088, 'learning_rate': 0.0003, 'epoch': 1.08}
{'loss': 0.8052, 'learning_rate': 0.0003, 'epoch': 1.09}
{'loss': 0.815, 'learning_rate': 0.0003, 'epoch': 1.09}
{'train_runtime': 3810.5544, 'train_samples_per_second': 8.803, 'train_steps_per_second': 1.101, 'train_loss': 0.818802917456325, 'epoch': 1.09}
